**** 第1轮 ****
rryyWwss(白) + rryyWwss(白) = rryywwss(紫)
rryyWwss(白) + rrYYWWss(黄) = rrYyWWss(黄)
rryyWwss(白) + rrYYWWss(黄) = rrYyWwss(白)
RRyyWWSs(红) + RRyyWWSs(红) = RRyyWWss(黑)
RRyyWWSs(红) + RRyyWWSs(红) = RRyyWWSS(粉)
RRyyWWSs(红) + rrYYWWss(黄) = RrYyWWss(橙)
RRyyWWSs(红) + rrYYWWss(黄) = RrYyWWSs(黄)
**** 第2轮 ****
RRyyWWSs(红) + rryywwss(紫) = RryyWwss(红)
RRyyWWSs(红) + rryywwss(紫) = RryyWwSs(粉)
RRyyWWSs(红) + rrYyWWss(黄) = RryyWWss(红)
RRyyWWSs(红) + rrYyWWss(黄) = RryyWWSs(粉)
RRyyWWSs(红) + RrYyWWss(橙) = RryyWWSs(粉)
RRyyWWSs(红) + RrYyWWSs(黄) = RryyWWSS(白)
rryywwss(紫) + RRyyWWss(黑) = RryyWwss(红)
rryywwss(紫) + RRyyWWSS(粉) = RryyWwSs(粉)
rrYyWWss(黄) + rrYyWWss(黄) = rryyWWss(白)
rrYyWWss(黄) + RRyyWWss(黑) = RryyWWss(红)
rrYyWWss(黄) + RRyyWWSS(粉) = RryyWWSs(粉)
rrYyWWss(黄) + RrYyWWss(橙) = rryyWWss(白)
rrYyWWss(黄) + RrYyWWss(橙) = RryyWWss(红)
rrYyWWss(黄) + RrYyWWSs(黄) = RryyWWss(红)
rrYyWWss(黄) + RrYyWWSs(黄) = RryyWWSs(粉)
RRyyWWss(黑) + RrYyWWss(橙) = RryyWWss(红)
RRyyWWss(黑) + RrYyWWSs(黄) = RryyWWSs(粉)
RRyyWWSS(粉) + RrYyWWss(橙) = RryyWWSs(粉)
RRyyWWSS(粉) + RrYyWWss(橙) = RRYyWWSs(橙)
RRyyWWSS(粉) + RrYyWWSs(黄) = RryyWWSS(白)
RRyyWWSS(粉) + RrYyWWSs(黄) = RRYyWWSs(橙)
RrYyWWss(橙) + RrYyWWss(橙) = rryyWWss(白)
RrYyWWss(橙) + RrYyWWss(橙) = RryyWWss(红)
RrYyWWss(橙) + RrYyWWSs(黄) = RryyWWSs(粉)
**** 第3轮 ****
RRyyWWSs(红) + RRYyWWSs(橙) = RRYyWWSS(黄)
rrYYWWss(黄) + RryyWwss(红) = RrYyWwss(红)
rrYYWWss(黄) + RryyWwSs(粉) = RrYyWwss(红)
rrYYWWss(黄) + RryyWwSs(粉) = RrYyWwSs(粉)
rryywwss(紫) + RryyWWSS(白) = rryyWwSs(白)
rrYyWWss(黄) + RryyWWSS(白) = rryyWWSs(白)
RRyyWWSS(粉) + RRYyWWSs(橙) = RRYyWWSS(黄)
RrYyWWss(橙) + RryyWWSS(白) = rryyWWSs(白)
RryyWWss(红) + RryyWWSS(白) = rryyWWSs(白)
RryyWWSS(白) + rryyWWss(白) = rryyWWSs(白)
**** 第4轮 ****
RrYyWwss(红) + RrYyWwss(红) = RRYYwwss(蓝)
RrYyWwss(红) + RrYyWwSs(粉) = RRYYwwss(蓝)
RrYyWwSs(粉) + RrYyWwSs(粉) = RRYYwwss(蓝)
