**** 第1轮 ****
rryyWwss(白) + rryyWwss(白) = rryywwss(紫) 25.0%
rryyWwss(白) + rrYYWWss(黄) = rrYyWWss(黄) 50.0%
rryyWwss(白) + rrYYWWss(黄) = rrYyWwss(白) 50.0%
rryyWwss(白) + RRyyWWSs(红) = RryyWwss(红) 25.0%
rrYYWWss(黄) + RRyyWWSs(红) = RrYyWWss(橙) 50.0%
rrYYWWss(黄) + RRyyWWSs(红) = RrYyWWSs(黄) 50.0%
RRyyWWSs(红) + RRyyWWSs(红) = RRyyWWss(黑) 25.0%
RRyyWWSs(红) + RRyyWWSs(红) = RRyyWWSS(粉) 25.0%
**** 第2轮 ****
rryyWwss(白) + rrYyWwss(白) = rrYywwss(紫) 12.5%
rrYYWWss(黄) + RryyWwss(红) = RrYyWwss(红) 25.0%
RRyyWWSs(红) + rryywwss(紫) = RryyWwSs(粉) 50.0%
RRyyWWSs(红) + rrYyWWss(黄) = RryyWWss(红) 25.0%
RRyyWWSs(红) + rrYyWWss(黄) = RryyWWSs(粉) 25.0%
RRyyWWSs(红) + RryyWwss(红) = RRyyWwss(黑) 12.5%
RRyyWWSs(红) + RrYyWWss(橙) = RryyWWss(红) 12.5%
RRyyWWSs(红) + RrYyWWss(橙) = RryyWWSs(粉) 12.5%
RRyyWWSs(红) + RrYyWWSs(黄) = RryyWWSs(粉) 12.5%
rryywwss(紫) + rrYyWwss(白) = rrYywwss(紫) 25.0%
rryywwss(紫) + RRyyWWSS(粉) = RryyWwSs(粉) 100.0%
rrYyWWss(黄) + rrYyWWss(黄) = rryyWWss(白) 25.0%
rrYyWWss(黄) + RrYyWWss(橙) = rryyWWss(白) 12.5%
rrYyWWss(黄) + RrYyWWss(橙) = RryyWWss(红) 12.5%
rrYyWWss(黄) + RRyyWWss(黑) = RryyWWss(红) 50.0%
rrYyWWss(黄) + RRyyWWSS(粉) = RryyWWSs(粉) 50.0%
rrYyWwss(白) + rrYyWwss(白) = rrYywwss(紫) 12.5%
RryyWwss(红) + RRyyWWss(黑) = RRyyWwss(黑) 25.0%
RryyWwss(红) + RRyyWWSS(粉) = RRyyWwSs(红) 25.0%
RrYyWWss(橙) + RrYyWWss(橙) = RryyWWss(红) 12.5%
RrYyWWss(橙) + RRyyWWss(黑) = RryyWWss(红) 25.0%
RrYyWWss(橙) + RRyyWWSS(粉) = RryyWWSs(粉) 25.0%
RrYyWWss(橙) + RRyyWWSS(粉) = RRYyWWSs(橙) 25.0%
RrYyWWSs(黄) + RRyyWWss(黑) = RryyWWss(红) 12.5%
RrYyWWSs(黄) + RRyyWWss(黑) = RryyWWSs(粉) 12.5%
RrYyWWSs(黄) + RRyyWWSS(粉) = RryyWWSs(粉) 12.5%
RrYyWWSs(黄) + RRyyWWSS(粉) = RryyWWSS(白) 12.5%
RrYyWWSs(黄) + RRyyWWSS(粉) = RRYyWWSs(橙) 12.5%
**** 第3轮 ****
rryyWwss(白) + RryyWWSS(白) = rryyWwSs(白) 25.0%
rrYYWWss(黄) + rrYywwss(紫) = rrYYWwss(黄) 50.0%
rrYYWWss(黄) + RryyWwSs(粉) = RrYyWwSs(粉) 12.5%
rrYYWWss(黄) + RRyyWwSs(红) = RrYyWwSs(粉) 25.0%
RRyyWWSs(红) + RRyyWwSs(红) = RRyyWwSS(粉) 12.5%
RRyyWWSs(红) + RRYyWWSs(橙) = RRYyWWSS(黄) 12.5%
rryywwss(紫) + RryyWwSs(粉) = rryywwSs(紫) 12.5%
rryywwss(紫) + RryyWWSS(白) = rryyWwSs(白) 50.0%
rrYyWWss(黄) + rrYywwss(紫) = rrYYWwss(黄) 25.0%
rrYyWWss(黄) + RryyWWSs(粉) = rryyWWSs(白) 12.5%
rrYyWWss(黄) + RryyWWSS(白) = rryyWWSs(白) 25.0%
rrYyWwss(白) + rrYywwss(紫) = rrYYWwss(黄) 12.5%
RryyWwss(红) + RryyWWSS(白) = rryyWwSs(白) 12.5%
RrYyWWss(橙) + rrYywwss(紫) = rrYYWwss(黄) 12.5%
RrYyWWss(橙) + rrYywwss(紫) = RrYYWwss(橙) 12.5%
RrYyWWss(橙) + RryyWWSS(白) = rryyWWSs(白) 12.5%
RrYyWWSs(黄) + rryyWWss(白) = rryyWWSs(白) 12.5%
RRyyWWSS(粉) + RryyWwSs(粉) = RryyWwSS(白) 12.5%
RRyyWWSS(粉) + RRyyWwSs(红) = RRyyWwSS(粉) 25.0%
RRyyWWSS(粉) + RRYyWWSs(橙) = RRYyWWSS(黄) 25.0%
rrYywwss(紫) + rrYywwss(紫) = rrYYwwss(白) 25.0%
rrYywwss(紫) + RRYyWWSs(橙) = RrYYWwss(橙) 12.5%
rrYywwss(紫) + RRYyWWSs(橙) = RrYYWwSs(黄) 12.5%
RryyWWss(红) + RryyWWSs(粉) = rryyWWSs(白) 12.5%
RryyWWss(红) + RryyWWSS(白) = rryyWWSs(白) 25.0%
RryyWWSs(粉) + rryyWWss(白) = rryyWWSs(白) 25.0%
rryyWWss(白) + RryyWWSS(白) = rryyWWSs(白) 50.0%
RRyyWwSs(红) + RryyWWSS(白) = RryyWwSS(白) 12.5%
RRYyWWSs(橙) + RRYyWWSs(橙) = RRYyWWSS(黄) 12.5%
**** 第4轮 ****
rrYYWWss(黄) + RryyWwSS(白) = rrYyWwSs(白) 25.0%
RRyyWWSS(粉) + RrYYWwss(橙) = RRYyWwSs(红) 25.0%
RRyyWWSS(粉) + RrYYWwSs(黄) = RRYyWwSs(红) 12.5%
rrYywwss(紫) + RryyWwSS(白) = rrYywwSs(紫) 12.5%
RRyyWwss(黑) + RrYYWwss(橙) = RRYywwss(黑) 12.5%
RRyyWwSs(红) + RRYyWWSS(黄) = RRYyWwSS(白) 12.5%
RRyyWwSs(红) + rryywwSs(紫) = RryywwSS(紫) 12.5%
RRYyWWSs(橙) + RRyyWwSS(粉) = RRYyWwSS(白) 12.5%
RryyWWSS(白) + rrYYWwss(黄) = rrYyWwSs(白) 25.0%
RryyWWSS(白) + RrYYWwss(橙) = rrYyWwSs(白) 12.5%
RryyWWSS(白) + RrYYWwss(橙) = RRYyWwSs(红) 12.5%
